,license_plate_number,sum(fine_level1_amount)
0,603e09c12c607a2ecfdc8062d4120edd10b2f5499d76fb4cc5d7a8ec73f9e04d,10141800
1,e9da919cc452d86e9eef0021d53660d97af0222726b6b91a5bed124d129aceed,39300
2,3271411212d41ce14c94d123b71b40c3dced2de3300106abcd973ed1db33e008,32805
3,a865795339abe6481e1d7ff0045bf85da19df648f60e2829ae6b4066130efe53,27390
4,8298fb7281dd7e9b37c8ac5cd60b34c987511ecc04efcee872232bde2fdb26a6,21925
5,4ba201d5b147754af8a6f8b702c2f823278fdae4a72d38ff62ff4025f566d8a2,21545
6,17708b2238277b0174cc14bcff02d23b58700d8ee863672d5def039a47a83d32,21210
7,b1b2c46d45086d1ff33be06e086114fdd71a458a94bd31220824232ad4a7045a,20785
8,bb37fb760ccc0197fa6019b7de94f76e5da87f55a59030d5c990ee4a8cb62402,19445
9,2b939d9e11d700a4555eacb76616dfbf3364d94c4ea3568bc3cbd370dc32676c,19405
